1272_128104_000001_000000	A Jollyard Critic.
1272_141231_000012_000001	The contestants in the twenties needed undisturbed rest, therefore nights in the dormitories were as quiet as death.
1272_141231_000012_000003	But as soon as the scores began to mount and eliminations cut into their ranks, there was complete silence after dark.
1272_141231_000012_000004	Particularly so on this last night, when only two of the little cubicles were occupied. The thousands others standing with dark, empty doors.
1272_141231_000013_000001	Words were whispered but clear two voices, just outside the thin metal of his door.
1272_141231_000013_000002	Someone spoke his name.
1272_141231_000014_000001	Of course not.
1272_141231_000014_000002	Whoever said you could was making a big mistake and there is going to be trouble.
1272_141231_000015_000000	Don't talk an idiot.
1272_141231_000015_000001	The other voice snapped with a harsh urgency, clearly used to command
1272_141231_000015_000003	Now who's to stand aside?
1272_141231_000018_000001	He must have drawn his gun because the intruder said quickly, put that away.
1272_141231_000018_000002	You're being a fool.
1272_141231_000019_000000	Out was the single snarled word of the response.
1272_141231_000019_000001	There was silence then, and, still wondering, Brian was once more asleep.
1272_141231_000020_000000	10 seconds.
1272_141231_000021_000001	He was unhappily conscious of his total exhaustion.
1272_141231_000021_000002	The month of continuous mental and physical combat had taken its toll.
1272_141231_000021_000003	It would be hard to stay on his feet, much less summon the strength and skill to fight and win a touch.
1272_141231_000022_000000	How do we stand? he asked the handler who was kneading his aching muscles.
1272_141231_000023_000000	4 4
1272_141231_000023_000001	All you need is a touch to win.
1272_141231_000024_000000	That's all needs too. Brian grunted, opening his eyes to look at the weary length of the man at the other end of the long mat.
1272_141231_000024_000002	A red-haired mountain of a man with an apparently inexhaustible store of energy.
1272_141231_000024_000003	That was really all that counted now.
1272_141231_000024_000005	Just thrust and parry in victory to the stronger.
1272_141231_000026_000000	Every man who entered the 20s had his own training tricks, Brian had a few individual ones that had helped him so far.
1272_141231_000026_000003	He had a standing order with off-planet agents for arcade chess books. The older the better.
1272_141231_000026_000005	This was allowed.
1272_141231_000026_000007	So, hypnosis was an accepted tool.
1272_141231_000027_000001	Common as the phenomenon seemed to be in the textbooks it proved impossible to duplicate.
1272_141231_000027_000003	Berserkers and Gerumenttados continue to fight and kill, though carved by scores of mortal wounds.
1272_141231_000027_000005	Death seemed an inescapable part of this kind of strength. But there was another type that could easily be brought about in any deep trance hypnotic rigidity.
1272_141231_000027_000007	This is physically impossible unconscious.
1272_141231_000027_000008	Working with this clue, Brian had developed a self-hypnotic technique that allowed him to tap this reservoir of unknown strength, the source of second wind, the survival strength that made the difference between
1272_141231_000028_000002	Others had died before during the twenties, and death, during the last round, was in some ways easier than defeat.
1272_141231_000029_000002	He could feel with acute sensitivity here and see clearly when he opened his eyes.
1272_141231_000030_000000	With each passing second to power drew it the basic reserves of life, draining it from his body.
1272_141231_000031_000000	On the buzz of sound, Rudy pulled his foil from his second startled grasp and ran forward.
1272_141231_000031_000002	The force of his rush was so great that the guards on their weapons locked and their bodies crushed together.
1272_141231_000032_000001	He didn't attempt to attack, just let Brian wear himself out against the firm shield of his defense.
1272_141231_000033_000000	Brian saw something close to panic on his opponent's face when the man finally recognized his error.
1272_141231_000033_000001	Brian wasn't tiring.
