1272_128104_000001_000000	a jolly art critic
1272_135031_000052_000001	they fell into the big pit in the passage , and we put the cover on to keep them there ; but when the executioners went to look for them they had all disappeared from the pit and we could find no trace of them . 
1272_135031_000053_000000	thats funny , remarked betsy thoughtfully . 
1272_135031_000053_000002	but to disappear like that seems like magic ; now , doesnt it ? 
1272_135031_000054_000000	they agreed that it did , but no one could explain the mystery . 
1272_135031_000055_000000	however , said shaggy , they are gone , that is certain , so we cannot help them or be helped by them . 
1272_135031_000058_000000	betsy laughed and shaggy seemed rather hurt ; but polychrome relieved his embarrassment by saying softly : one can be ugly in looks , but lovely in disposition . 
1272_135031_000060_000000	true , agreed kaliko . 
1272_135031_000060_000001	so i think i will assemble the chief nomes of my kingdom in this throne room and tell them that i am their new king . then i can ask them to assist us in searching for the secret passages . 
1272_135031_000063_000000	of course not , said he , jumping up from the throne , where he had seated himself . 
1272_141231_000002_000000	for my mother and father
1272_141231_000006_000000	stephen crane
1272_141231_000007_000003	and when he attacked , it was always there to beat him aside . 
1272_141231_000008_000001	he reacted but his blade just met air . 
1272_141231_000010_000000	one minute , a voice said , and the time buzzer sounded . 
1272_141231_000011_000000	brion had carefully conditioned the reflex in himself . 
1272_141231_000011_000002	the buzzers whirr triggered his muscles into complete relaxation . 
1272_141231_000011_000003	only his heart and lungs worked on at a strong , measured rate . 
1272_141231_000011_000004	his eyes closed and he was only distantly aware of his handlers catching him as he fell , carrying him to his bench . while they massaged his limp body and cleansed the wound , all of his attention was turned inward . 
1272_141231_000011_000006	the nagging memory of the previous night loomed up then , and he turned it over and over in his mind , examining it from all sides . 
1272_141231_000012_000001	the contestants in the twenties needed undisturbed rest , therefore nights in the dormitories were as quiet as death . 
1272_141231_000012_000003	but as soon as the scores began to mount and eliminations cut into their ranks , there was complete silence after dark . 
1272_141231_000012_000004	particularly so on this last night , when only two of the little cubicles were occupied , the thousands of others standing with dark , empty doors . 
1272_141231_000013_000001	the words were whispered but clear two voices , just outside the thin metal of his door . 
1272_141231_000013_000002	someone spoke his name . 
1272_141231_000014_000001	of course not . 
1272_141231_000014_000002	whoever said you could was making a big mistake and there is going to be trouble
1272_141231_000015_000000	dont talk like an idiot ! 
1272_141231_000015_000001	the other voice snapped with a harsh urgency , clearly used to command . 
1272_141231_000015_000003	now stand aside ! 
1272_141231_000018_000001	he must have drawn his gun , because the intruder said quickly , put that away . 
1272_141231_000018_000002	youre being a fool ! 
1272_141231_000019_000000	out ! was the single snarled word of the response . 
1272_141231_000019_000001	there was silence then and , still wondering , brion was once more asleep . 
1272_141231_000020_000000	ten seconds . 
1272_141231_000021_000001	he was unhappily conscious of his total exhaustion . 
1272_141231_000021_000002	the month of continuous mental and physical combat had taken its toll . 
1272_141231_000021_000003	it would be hard to stay on his feet , much less summon the strength and skill to fight and win a touch . 
1272_141231_000022_000000	how do we stand ? he asked the handler who was kneading his aching muscles . 
1272_141231_000023_000000	four four . 
1272_141231_000023_000001	all you need is a touch to win ! 
1272_141231_000024_000000	thats all he needs too , brion grunted , opening his eyes to look at the wiry length of the man at the other end of the long mat . 
1272_141231_000024_000002	a red haired mountain of a man , with an apparently inexhaustible store of energy . 
1272_141231_000024_000003	that was really all that counted now . 
1272_141231_000024_000005	just thrust and parry , and victory to the stronger . 
1272_141231_000026_000000	every man who entered the twenties had his own training tricks . brion had a few individual ones that had helped him so far . 
1272_141231_000026_000003	he had a standing order with off planet agents for archaic chess books , the older the better . 
1272_141231_000026_000005	this was allowed . 
1272_141231_000026_000007	self hypnosis was an accepted tool . 
1272_141231_000027_000001	common as the phenomenon seemed to be in the textbooks , it proved impossible to duplicate . 
1272_141231_000027_000003	berserkers and juramentados continue to fight and kill though carved by scores of mortal wounds . 
1272_141231_000027_000005	death seemed an inescapable part of this kind of strength . but there was another type that could easily be brought about in any deep trance hypnotic rigidity . 
1272_141231_000027_000007	this is physically impossible when conscious . 
1272_141231_000027_000008	working with this as a clue , brion had developed a self hypnotic technique that allowed him to tap this reservoir of unknown strength the source of second wind , the survival strength that made the difference between life and death . 
1272_141231_000028_000002	others had died before during the twenties , and death during the last round was in some ways easier than defeat . 
1272_141231_000029_000002	he could feel with acute sensitivity , hear , and see clearly when he opened his eyes . 
1272_141231_000030_000000	with each passing second the power drew at the basic reserves of life , draining it from his body . 
1272_141231_000031_000000	when the buzzer sounded he pulled his foil from his seconds startled grasp , and ran forward . 
1272_141231_000031_000002	the force of his rush was so great that the guards on their weapons locked , and their bodies crashed together . 
1272_141231_000032_000001	he didnt attempt to attack , just let brion wear himself out against the firm shield of his defense . 
1272_141231_000033_000000	brion saw something close to panic on his opponents face when the man finally recognized his error . 
1272_141231_000033_000001	brion wasnt tiring . 
